ID,group_id1,group_id2,ideology1,ideology2,ideological_label,income,Q1_immigration,Q2_defense,treatment,proposition_vote,state,year,log_income,weights
0001,6,4,-0.718066931754498,-0.220420355411318,Conservative,169018.793385281,5,6,1,1,1,1,12.0377651911858,0.7
0002,2,3,0.278224993883064,0.487005737467236,Liberal,18968.2424998992,4,10,1,1,2,1,9.85052141234821,0.3
0003,12,3,-0.104229162121219,-2.33827735756016,Conservative,665371.436032612,10,10,0,1,3,1,13.4081007141317,0.5
0004,2,2,0.440039929126725,2.10970236837918,Liberal,29563.4467766339,4,1,0,1,4,1,10.2942939709924,0.3
0005,4,1,0.101589342523737,1.60996017255077,Liberal,18638.8706028693,6,10,0,1,5,1,9.83300449642911,0.5
0006,8,2,1.51140487670018,0.854511176355986,Very Liberal,4331.39887190039,1,5,0,1,6,1,8.37364583392626,0.3
0007,13,3,-1.4381336011303,-0.515885723984716,Very Conservative,574048.509913879,6,9,0,1,7,1,13.2604691837758,0.1
0008,4,1,-1.74894908180112,-0.953335721582688,Very Conservative,155504.947024692,5,7,0,1,8,1,11.954432823759,0.4
0009,8,3,0.772014993224047,1.40238081723476,Liberal,9066.5326520091,8,8,1,1,9,1,9.11234518247833,0.6
0010,11,2,0.479259249623545,-0.344987203530337,Liberal,212355.501009672,3,4,0,1,10,1,12.2660170407964,0.5
0011,8,3,2.60013544815887,-0.752803487532411,Very Liberal,48481.8967448073,10,3,0,1,11,1,10.7889457442519,0.6
0012,8,4,-0.212443560407179,-0.595660592194606,Conservative,59453.7697304777,9,6,0,1,12,1,10.9929543102091,0.1
0013,7,4,-1.41205420393705,0.545461540650813,Very Conservative,13171148.0704228,10,2,0,1,13,1,16.3935392430729,0.7
0014,11,2,-0.112431488380256,-2.00165188974784,Conservative,114335.48187162,2,5,1,1,14,1,11.6468922291835,0.9
0015,2,3,-0.321425617816638,-0.909112412216268,Conservative,17854.4999327999,1,4,0,1,15,1,9.79001085251228,0.4
0016,12,1,-0.400748920566191,0.988864269342279,Conservative,66053.6781279816,1,7,0,1,16,1,11.0982229954247,0.1
0017,3,2,1.82128809837748,-0.187498217887118,Very Liberal,4727.42365981658,10,8,0,1,17,1,8.46113565229363,0.7
0018,7,2,-0.0995253777133766,-0.362109305286267,Conservative,46169.4645627618,5,4,1,1,18,1,10.7400739183526,0.6
0019,2,2,-1.42092145597125,0.363319652417196,Very Conservative,340258.657700757,7,4,0,1,19,1,12.7374613653061,0.3
0020,6,3,-1.25781013813257,0.755050520594244,Very Conservative,520356.278953461,6,1,0,1,20,1,13.1622690077818,0.1
0021,2,2,-0.321082517901975,-1.47896689563543,Conservative,1067274.77462718,7,1,1,1,21,1,13.8806190178689,1
0022,2,4,0.085037437930589,1.03040406866117,Liberal,107370.826862503,6,2,0,1,22,1,11.5840437934557,0.7
0023,7,4,1.67525902790339,0.63230855370278,Very Liberal,16881.9571818399,1,5,0,1,23,1,9.7340007082201,0.1
0024,10,2,0.272732681397728,0.751561006528914,Liberal,2830312.30643834,7,2,1,1,24,1,14.8558976191626,0.8
0025,2,4,-0.291708244279382,0.234051362072927,Conservative,32766.0641413289,9,4,1,1,25,1,10.3971486289358,0.1
0026,3,4,1.25410761319701,1.85529006508422,Very Liberal,14391.4523872561,9,5,0,1,26,1,9.5743897251049,1
0027,5,3,-0.80098099926184,-0.0146767086580275,Conservative,28369.4383973929,5,2,0,1,27,1,10.2530677319564,0.8
0028,9,1,-0.273633566755097,1.33952826561846,Conservative,187319.005615229,4,7,1,1,28,1,12.1405683548018,0.3
0029,12,3,-0.986478888471861,-0.0069749781678424,Conservative,338080.538673305,6,4,0,1,29,1,12.7310394261795,0.6
0030,3,2,0.791221087658282,-0.368586748938838,Liberal,18493.1705932119,2,2,1,1,30,1,9.82515678578747,0.1
0031,12,2,-0.899718329937324,1.53354189857578,Conservative,485476.830330644,8,2,1,1,31,1,13.0928868422599,0.9
0032,6,2,-0.688377587269625,-0.182540672861549,Conservative,13864.16710507,10,3,1,1,32,1,9.53706288448711,0.2
0033,12,1,-0.0832837333411337,-1.45114417619186,Conservative,58398.8726309608,10,10,1,1,33,1,10.9750518643656,1
0034,9,4,-1.76352820812083,-1.7674002183721,Very Conservative,268640.239599308,7,10,0,1,34,1,12.5011283642083,0.4
0035,2,2,-0.164762210882016,1.26872344318527,Conservative,195956.222195314,3,10,0,1,35,1,12.1856465571186,0.1
0036,11,1,-1.11732817728316,1.5594234821789,Very Conservative,203688.324534612,10,9,1,1,36,1,12.2243462836091,0.7
0037,13,4,-0.366943651417671,-0.25124405724513,Conservative,77493.5995460825,3,8,1,1,37,1,11.2579506254288,0.8
0038,11,1,-1.67948555934857,-0.731857435143111,Very Conservative,396226.509230643,1,7,1,0,38,1,12.8897413197176,0.3
0039,11,3,-1.66334310281181,0.278882977221643,Very Conservative,646457.456484134,9,6,1,1,39,1,13.3792626691264,0.4
0040,7,3,0.22200011552035,-0.208651685523239,Liberal,43368.7058834847,7,6,1,1,40,1,10.6774933974053,0.7
0041,5,4,-0.833111599404661,1.41448169804845,Conservative,39363.0991772944,3,9,0,1,41,1,10.5805840873269,0.1
0042,12,2,1.29842987175531,-1.12603447443912,Very Liberal,10618.5700345034,6,1,1,1,42,1,9.27035963737818,0.2
0043,10,4,0.667690863292331,-0.619629274831896,Liberal,16255.9287197459,10,5,0,1,43,1,9.69621296551045,0.6
0044,4,4,0.371581520000849,-0.852401524854716,Liberal,13466.6660234407,5,1,0,1,44,1,9.50797272751683,0.6
0045,13,2,0.321398625311273,-0.487438314515049,Liberal,89621.7121075926,7,4,1,1,45,1,11.403352892237,0.6
0046,8,1,0.0193040132862646,1.50361558839437,Liberal,180245.258260531,4,7,0,1,46,1,12.1020737483409,1
0047,11,3,-0.221960941506218,-0.0920275065105436,Conservative,44023.784314811,8,10,1,1,47,1,10.6924853194638,0.7
0048,11,1,2.4771721116041,-1.09790509787528,Very Liberal,1673.40923559043,6,8,1,1,48,1,7.42261828290353,0.1
0049,3,3,0.238195436697077,-1.58149795400821,Liberal,103441.745273579,4,3,1,1,49,1,11.5467638856311,1
0050,5,3,1.61147676637703,0.890751273072647,Very Liberal,8222.30624561993,1,10,1,1,50,1,9.01460601385976,0.2
0051,13,4,-0.0865347355431167,-0.874944518201312,Conservative,35507.973320524,8,9,1,1,51,1,10.4775125508227,0.7
0052,13,3,-0.801064732549094,-0.363931533418826,Conservative,43529.3333086916,6,10,0,1,52,1,10.6811903187546,1
0053,12,2,0.543517139886764,-0.242143995570266,Liberal,4873.5015513154,9,6,0,1,53,1,8.4915679620937,0.7
0054,5,4,-0.0682709961486107,0.331017150013691,Conservative,77784.8524740196,8,1,1,1,54,1,11.2617019929329,0.7
0055,13,1,-0.275663715744005,0.96919969892751,Conservative,25602.6668349795,10,8,0,1,55,1,10.1504517982834,0.7
0056,1,3,-0.618206875356465,-0.355662232338105,Conservative,6912.02418862965,5,3,1,1,56,1,8.84101780999016,0.8
0057,9,3,-2.0644149821944,-0.148790176263357,Very Conservative,488084.553565838,7,1,0,1,57,1,13.0982439353303,0.1
0058,8,4,0.850561061448093,-0.684167412997996,Liberal,21473.6149899421,5,7,1,1,58,1,9.97458025070707,0.8
0059,13,2,-0.138194785711632,-0.114909314382441,Conservative,149567.765683313,10,4,1,1,59,1,11.9155048512742,1
0060,11,3,-0.0421426021027471,0.841402304142641,Conservative,162641.33378547,8,9,1,1,60,1,11.9993026491138,1
0061,8,2,-1.68284814731346,-0.83292711028318,Very Conservative,1613365.86972734,1,6,1,0,61,1,14.2938331570077,0.5
0062,2,2,-0.00638148219622234,-0.0791596563639612,Conservative,9904.69278239579,7,8,0,1,62,1,9.20076394223526,0.6
0063,12,1,0.907629478745546,-0.44734191381832,Liberal,29055.3401528894,3,7,0,1,63,1,10.2769575716473,0.5
0064,1,2,1.29628188418147,0.245034064140752,Very Liberal,20108.0004006633,10,2,0,1,64,1,9.90887304473803,0.1
0065,7,3,-0.641839341817849,-1.14451428089433,Conservative,237175.929585463,4,5,1,1,65,1,12.3765574636609,0.2
0066,12,2,-1.84267032735844,1.41240243632125,Very Conservative,2018511.91690954,8,3,0,1,66,1,14.5178711231019,0.1
0067,8,2,-0.380662139050741,-0.30022370118878,Conservative,31157.2071165788,2,3,0,1,67,1,10.3468008655626,0.8
0068,11,4,-0.434930524138425,2.54343961694034,Conservative,48814.6567846262,5,2,1,1,68,1,10.7957858906943,1
0069,10,3,-0.961101064134726,-0.550849938572636,Conservative,13515.422687938,7,5,1,1,69,1,9.51158673368859,0.9
0070,1,2,-2.16055044860452,0.965323449826345,Very Conservative,4753488.52281896,6,4,1,1,70,1,15.3743893323088,0.7
0071,2,3,-0.592119891804772,-0.230231640061462,Conservative,46030.4122784512,8,1,1,1,71,1,10.7370575935049,0.6
0072,10,2,0.0688398314752953,0.147639366510485,Liberal,26897.7476735314,2,10,1,0,72,1,10.1997978324759,0.3
0073,1,2,-1.25529299366379,0.995791088737122,Very Conservative,1792457.87617089,8,1,0,1,73,1,14.3990983511357,0.8
0074,9,4,0.558238642791524,1.7812857643504,Liberal,5492.82872589748,6,9,0,1,74,1,8.6111986524264,0.8
0075,7,2,1.03831800208252,0.976598197082581,Very Liberal,36294.0334091671,8,9,1,1,75,1,10.4994086378494,0.2
0076,2,1,-0.572412312230672,0.528182398052359,Conservative,106864.168853882,5,10,1,1,76,1,11.5793138570462,0.8
0077,9,1,0.151625970326112,-0.988275690888784,Liberal,38866.6310463858,8,6,0,1,77,1,10.5678913477562,0.5
0078,13,3,-2.12584061255189,0.29603030638873,Very Conservative,402222.449071207,5,9,0,1,78,1,12.9047605704548,0.2
0079,5,3,-0.00757851155999655,0.847246466735544,Conservative,122278.498031906,9,5,0,1,79,1,11.714056492906,0.1
0080,4,3,-0.284318653169827,-0.446987646623442,Conservative,148355.309447519,6,4,1,1,80,1,11.9073654150854,0.8
0081,7,1,-0.892973300971677,1.12951856729693,Conservative,723781.663785172,5,5,0,1,81,1,13.4922450565292,0.9
0082,11,3,0.246370647638773,-0.700793922338504,Liberal,113481.476627629,10,4,0,1,82,1,11.6393949010661,1
0083,3,2,-0.353669086227773,-0.328312139945409,Conservative,39340.5116672959,7,3,1,1,83,1,10.5800100981446,0.9
0084,7,3,-0.00716564004632617,0.847496034001999,Conservative,20071.8164459344,2,7,0,1,84,1,9.90707194322238,0.6
0085,12,2,-0.479693406646453,-0.681176887172679,Conservative,668495.529740979,4,9,0,1,85,1,13.4127849885025,0.6
0086,1,3,-1.50891009229733,-1.05601478791413,Very Conservative,50042.6401088467,4,6,0,1,86,1,10.820630723158,0.4
0087,7,2,1.97453030755579,0.939609959273098,Very Liberal,5822.0333946652,6,6,1,1,87,1,8.66940486023299,0.5
0088,13,1,0.430421226552046,0.502179708251643,Liberal,19850.4439627165,9,8,0,1,88,1,9.89598165174515,0.1
0089,12,1,0.273323876839443,0.208151718281538,Liberal,81621.1457254908,4,10,1,1,89,1,11.3098436461743,0.6
0090,5,2,1.19501176636394,1.06027645350714,Very Liberal,12436.5865966811,7,2,1,1,90,1,9.42839793930722,1
0091,8,4,-0.0749141481718624,0.725521183808741,Conservative,19117.7074075603,4,2,0,1,91,1,9.85837027395383,0.4
0092,1,3,-0.207731279576212,0.0976580053323599,Conservative,20893.4360871516,4,3,0,1,92,1,9.94719032580914,0.1
0093,4,2,-0.385062808706153,-1.4169357410874,Conservative,546684.962799216,2,4,1,1,93,1,13.2116279791074,0.8
0094,3,3,1.1237477438833,-2.51366065110086,Very Liberal,8160.19171456313,4,8,1,1,94,1,9.00702294211392,1
0095,11,4,-1.0178933935093,1.23838672040865,Very Conservative,175772.785781106,8,9,1,1,95,1,12.0769474500949,0.3
0096,12,3,-0.530820831078503,1.66688895393283,Conservative,32170.9344656641,10,7,1,1,96,1,10.3788186675471,0.9
0097,4,3,1.02148217119864,-1.67606315901715,Very Liberal,24973.4925021823,3,3,1,1,97,1,10.125570241422,1
0098,6,3,0.469710424686068,1.60897341340608,Liberal,10930.6171884017,7,5,1,1,98,1,9.29932304695072,0.3
0099,1,3,-0.958045317850234,0.565797182684684,Conservative,1806754.96182049,1,1,0,1,99,1,14.4070429554099,0.5
0100,2,1,0.0777208493583893,0.383339401951124,Liberal,19150.1592502291,8,9,0,1,100,1,9.86006631051307,1
0101,2,1,-1.12296991193249,-0.706656348447215,Very Conservative,1770722.77324334,1,4,1,1,1,2,14.3868983676645,0.5
0102,10,4,1.94257956663518,0.428492261188828,Very Liberal,2922.64819169728,8,7,0,1,2,2,7.98024539922825,0.6
0103,4,3,-0.582610938079618,-1.11758245780181,Conservative,460652.013066142,8,4,0,1,3,2,13.0403981845832,0.9
0104,11,3,0.490459052293788,0.148994672824319,Liberal,7767.53865623021,6,7,0,1,4,2,8.95770861791787,1
0105,1,2,0.382960823941187,0.715475381509014,Liberal,614194.096436359,9,9,0,1,5,2,13.328066275149,1
0106,12,2,1.45382797486732,1.34320162694152,Very Liberal,26167.6837811549,9,9,1,1,6,2,10.1722804849643,0.5
0107,8,2,1.02484336613735,1.1698886218616,Very Liberal,29376.7332144548,8,9,1,1,7,2,10.2879582527511,0.5
0108,1,3,-1.24197330371945,-1.97851280057608,Very Conservative,5126902.02619499,10,6,1,1,8,2,15.4500121412006,0.4
0109,10,1,-0.247600380616208,0.0241452990910628,Conservative,178508.961249124,10,8,1,1,9,2,12.092394082018,0.6
0110,8,3,0.653487072450217,0.496911877337259,Liberal,114042.496904684,1,6,0,1,10,2,11.6443264377771,0.1
0111,3,1,0.828469941337462,-1.32927502690288,Liberal,10619.0513706716,4,8,1,1,11,2,9.27040496601072,0.3
0112,6,2,-5.65727137966932e-05,0.468416707256306,Conservative,53241.8698926394,10,5,0,1,12,2,10.8826003938427,0.6
0113,11,2,0.846805411802011,-0.132444677597879,Liberal,3965.38848261036,10,1,0,1,13,2,8.28535910722916,0.2
0114,3,4,0.716784081349926,2.13081732500108,Liberal,158939.856720705,3,1,1,1,14,2,11.9762811500259,0.6
0115,9,4,-0.616091703342554,-2.24346124494284,Conservative,162663.076871544,10,7,1,1,15,2,11.999436327511,0.1
0116,4,4,1.08770955681519,0.757894695364777,Very Liberal,140847.351376686,3,7,1,1,16,2,11.8554319685603,0.8
0117,12,3,-1.0847816110224,-0.830540361558739,Very Conservative,568222.019909455,1,7,1,1,17,2,13.2502675014518,0.7
0118,9,1,0.801207445718521,0.208148120175405,Liberal,15107.9538329367,8,6,1,1,18,2,9.62297662802524,1
0119,2,2,0.469943458784039,0.739680101478438,Liberal,4603.83592957684,6,8,0,1,19,2,8.43464513271174,0.9
0120,3,1,0.398269796623261,-0.174966159840266,Liberal,26391.1685724782,3,1,0,1,20,2,10.1807847093991,0.8
0121,10,1,-0.767252337843489,0.554885269303207,Conservative,20928.2133239068,10,3,1,1,21,2,9.94885344743447,0.5
0122,7,3,-2.83717303244822,-0.304837988134454,Very Conservative,1507888.27926502,5,9,0,1,22,2,14.2262207394376,0.3
